station_id,name,capacity
3565,36 Ave & 10 St,19
3566,Crescent St & 35 Ave,25
3567,11 St & 35 Ave,19
3568,34 St & 35 Ave,21
3569,Franklin Ave & St Marks Ave,29
3570,35 Ave & 37 St,31
3571,Bedford Ave & Bergen St,24
3572,34 Ave & 38 St,33
3573,35 St & 34 Ave,25
3574,Prospect Pl & Underhill Ave,23
3575,Crescent St & 34 Ave,19
3576,Park Pl & Vanderbilt Ave,27
3577,34 Ave & 21 St,23
3578,Park Pl & Franklin Ave,21
3579,Sterling Pl & Bedford Ave,25
3580,St Johns Pl & Washington Ave,30
3581,Underhill Ave & Lincoln Pl,27
3582,Lincoln Pl & Classon Ave,28
3583,Eastern Pkwy & Washington Ave,31
3584,Eastern Pkwy & Franklin Ave,42
3585,Union St & Bedford Ave,24
3586,34 Ave & 13 St,19
3587,Carroll St & Washington Ave,27
3588,Vernon Blvd & 10 St,21
3589,Broadway & 12 St,19
3590,Carroll St & Franklin Ave,19
3591,21 St & 31 Dr,21
3592,Crescent St & Broadway,19
3593,31 St & Broadway,35
3595,35 St & Broadway,18
3596,Sullivan Pl & Bedford Ave,19
3597,43 St & Broadway,25
3598,Newton Rd & 44 St,19
3599,Franklin Ave & Empire Blvd,0
3600,31 Ave & Steinway St,27
3601,Sterling St & Bedford Ave,19
3602,31 Ave & 34 St,23
3603,31 Ave & 30 St,21
3604,Rogers Ave & Sterling St,17
3605,31 Ave & Crescent St,21
3606,49 Ave & 21 St,21
3607,31 Ave & 14 St,19
3608,5 St & 51 Ave,21
3609,Vernon Blvd & 31 Ave,23
3610,Vernon Blvd & 30 Rd,27
3611,Vernon Blvd & 47 Rd,31
3612,30 Ave & 21 St,15
3613,Center Blvd & 48 Ave,27
3614,Crescent St & 30 Ave,23
3615,44 Dr & 21 St,21
3616,Steinway St & 28 Ave,25
3617,28 Ave & 35 St,27
3618,27 St & Hunter St,33
3619,Newtown Ave & 23 St,16
3620,11 St & 43 Ave,23
3621,27 Ave & 9 St,19
3622,E 128 St & Madison Ave,23
3623,W 120 St & Claremont Ave,39
3628,Lenox Ave & W 117 St,31
3629,Adam Clayton Powell Blvd & W 126 St,33
3630,Frederick Douglass Blvd & W 115 St,33
3637,Fulton St & Waverly Ave,31
3638,Washington St,18
3639,Harborside,30
3640,Journal Square,18
3641,Broadway & W 25 St,54
3646,35 Ave & 10 St,26
3647,48 Ave & 30 Pl,23
3648,Flushing Ave & Vanderbilt Ave,25
3649,W 129 St & Convent Ave,30
3654,31 St & Northern Blvd,35
3656,E 2 St & Avenue A,46
3658,W 18 St & 9 Ave,27
3661,Montgomery St & Franklin Ave,19
3664,North Moore St & Greenwich St,30
3668,Leonard St & Nassau Ave,26
3671,E 81 St & 2 Ave,37
3673,Dean St & Franklin Ave,21
3674,Jay St & York St,27
3676,Van Brunt St & Van Dyke St,24
3677,Glenwood Ave,18
3678,Fairmount Ave,18
3679,Bergen Ave,14
3680,E 43 St & 5 Ave,55
3681,Grand St,18
3686,Gansevoort St & Hudson St,39
3687,E 33 St & 1 Ave,83
3689,W 104 St & Amsterdam Ave,47
3690,Park Pl & Church St,36
3691,28 Ave & 44 St,0
3693,N 11 St & Kent Ave,27
3694,Jackson Square,18
3697,W 64 St & Thelonious Monk Circle,43
3699,W 50 St & 9 Ave,30
3704,47 Ave & Skillman Ave,19
3707,Lexington Ave & E 26 St,55
3708,W 13 St & 5 Ave,29
3709,W 15 St & 6 Ave,51
3711,E 13 St & Avenue A,47
3712,W 35 St & Dyer Ave,41
3714,Division Ave & Hooper St,61
3715,Driggs Ave & N 9 St,31
3716,40 Ave & Crescent St,23
3718,E 11 St & Avenue B,46
3721,31 St & Newtown Ave,35
3723,Cadman Plaza E & Johnson St,30
3724,7 Ave & Central Park South,39
3725,2 Ave & E 72 St,41
3726,Center Blvd & 51 Ave,23
3727,Frost St & Meeker Ave,38
3728,Pierrepont St & Monroe Pl,24
3731,W 47 St & 6 Ave,46
3733,Avenue C & E 18 St,46
3734,E 58 St &  1 Ave (NW Corner),50
3735,W 30 St & 10 Ave,38
3736,E 12 St & Ave C,0
3737,Stanton St & Norfolk St,35
3738,Delancey St & Eldridge St,31
3739,Perry St & Greenwich Ave,37
3740,W Broadway & W Houston St,34
3744,1 Ave & E 5 St,51
3745,36 Ave & 31 St,27
3746,6 Ave & Broome St,48
3749,Lexington Ave & E 36 St,0
3755,DeKalb Ave & Franklin Ave,19
3756,White St & Moore St,21
3757,Stagg St & Morgan Ave,23
3758,George St & Wilson Ave,19
3759,Irving Ave & Jefferson St,19
3760,Willoughby Ave & Wyckoff Ave,23
3761,Cedar St & Myrtle Ave,27
3762,3 Ave & Carroll St,27
3763,Wyckoff Av & Jefferson St,27
3764,Bushwick Ave & McKibbin St,21
3765,Bushwick Ave & Stagg St,21
3766,Sharon St & Olive St,24
3767,Powers St & Olive St,0
3768,Waterbury St & Stagg St,23
3769,White St & Johnson Ave,23
3770,Central Ave & Flushing Ave,21
3771,McKibbin St & Bogart St,30
3772,Devoe St & Morgan Ave,19
3773,Knickerbocker Ave & Thames St,20
3774,Knickerbocker Ave & George St,23
3775,Suydam St & Knickerbocker Ave,27
3776,Central Ave & Starr Street,23
3777,Stockholm St & Wilson Ave,23
