time,station_id,station_status,bikes_available,ebikes_available,bikes_disabled,docks_available,docks_disabled
2020-09-23 16:44:25,534,active,24,5,1,6,0
2020-09-23 16:44:25,536,active,24,0,1,3,0
2020-09-23 16:44:25,539,active,22,0,1,8,0
2020-09-23 16:44:25,540,active,1,1,1,44,0
2020-09-23 16:44:25,545,active,11,0,1,15,0
2020-09-23 16:44:25,546,active,18,3,2,25,0
2020-09-23 16:44:25,2000,active,55,1,2,0,0
2020-09-23 16:44:25,2002,active,24,0,1,2,0
2020-09-23 16:44:25,2003,active,14,0,0,40,0
2020-09-23 16:44:25,2005,active,5,0,1,6,0
2020-09-23 16:44:25,2006,active,0,0,34,0,15
2020-09-23 16:44:25,2008,active,2,0,1,21,0
2020-09-23 16:44:25,2009,active,29,3,5,1,0
2020-09-23 16:44:25,2010,active,33,3,3,3,0
2020-09-23 16:44:25,2012,active,16,0,2,17,0
2020-09-23 16:44:25,2017,active,19,0,4,16,0
2020-09-23 16:44:25,2021,active,4,1,0,61,0
2020-09-23 16:44:25,2022,active,4,1,0,29,0
2020-09-23 16:44:25,3016,active,19,0,2,33,0
2020-09-23 16:44:25,3041,active,1,0,1,22,0
2020-09-23 16:44:25,3042,active,7,1,0,12,0
2020-09-23 16:44:25,3043,active,4,0,0,15,0
2020-09-23 16:44:25,3044,active,1,0,0,26,0
2020-09-23 16:44:25,3046,active,3,1,0,16,0
2020-09-23 16:44:25,3047,active,7,0,2,12,0
2020-09-23 16:44:25,3048,active,1,0,0,18,0
2020-09-23 16:44:25,3049,active,1,0,0,17,0
2020-09-23 16:44:25,3050,active,1,0,0,20,0
2020-09-23 16:44:25,3052,active,15,0,0,8,0
2020-09-23 16:44:25,3053,active,2,0,0,21,0
2020-09-23 16:44:25,3054,active,2,0,0,17,0
2020-09-23 16:44:25,3055,active,4,0,0,19,0
2020-09-23 16:44:25,3056,active,4,0,0,19,0
2020-09-23 16:44:25,3057,active,1,0,1,16,0
2020-09-23 16:44:25,3058,active,5,0,0,19,0
2020-09-23 16:44:25,3059,active,6,0,0,13,0
2020-09-23 16:44:25,3060,active,7,0,1,11,0
2020-09-23 16:44:25,3061,active,2,0,0,19,0
2020-09-23 16:44:25,3062,active,1,0,0,22,0
2020-09-23 16:44:25,3063,active,8,0,0,12,0
2020-09-23 16:44:25,3064,active,2,0,1,20,0
2020-09-23 16:44:25,3065,active,15,0,0,16,0
2020-09-23 16:44:25,3066,active,7,0,0,12,0
2020-09-23 16:44:25,3067,active,9,0,1,17,0
2020-09-23 16:44:25,3068,active,27,0,1,14,0
2020-09-23 16:44:25,3069,active,14,0,0,15,0
2020-09-23 16:44:25,3070,active,8,0,0,15,0
2020-09-23 16:44:25,3071,active,2,1,0,17,0
2020-09-23 16:44:25,3072,active,15,0,0,9,0
